,distance_min,distance_max,distance_mean,distance_median,distance_std,distance_p10,distance_p25,distance_p50,distance_p75,distance_p90,speed_min,speed_max,speed_mean,speed_median,speed_std,speed_p10,speed_p25,speed_p50,speed_p75,speed_p90,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_std,acceleration_p10,acceleration_p25,acceleration_p50,acceleration_p75,acceleration_p90,bearing_min,bearing_max,bearing_mean,bearing_median,bearing_std,bearing_p10,bearing_p25,bearing_p50,bearing_p75,bearing_p90,jerk_min,jerk_max,jerk_mean,jerk_median,jerk_std,jerk_p10,jerk_p25,jerk_p50,jerk_p75,jerk_p90,bearing_rate_min,bearing_rate_max,bearing_rate_mean,bearing_rate_median,bearing_rate_std,bearing_rate_p10,bearing_rate_p25,bearing_rate_p50,bearing_rate_p75,bearing_rate_p90,brate_rate_min,brate_rate_max,brate_rate_mean,brate_rate_median,brate_rate_std,brate_rate_p10,brate_rate_p25,brate_rate_p50,brate_rate_p75,brate_rate_p90,stop_time_min,stop_time_max,stop_time_mean,stop_time_median,stop_time_std,stop_time_p10,stop_time_p25,stop_time_p50,stop_time_p75,stop_time_p90,isInValid,isPure,target,stopRate,starTime,endTime,isWeekDay,dayOfWeek,durationInSeconds,distanceTravelled,startToEndDistance,startLat,starLon,endLat,endLon,selfIntersect,modayDistance,tuesdayDistance,wednesdayDay,thursdayDistance,fridayDistance,saturdayDistance,sundayDistance,stopTotal,stopTotalOverDuration,userId,time
0,0.0,120.5663627715496,50.330517691937615,61.28425316806129,48.579871956195944,0.0,0.0,61.28425316806129,104.85872057154447,108.00024901154549,0.0,30.1415906928874,4.268368630444126,1.4947378821478363,9.206703767884882,0.0,0.0,1.4947378821478363,2.6214680142886118,8.125492550008374,-7.534410987926065,0.7535397673221851,-0.7549173305307999,-0.00012731423171421935,2.4085744925981802,-1.5375243241692433,-0.028168253303519387,-0.00012731423171421935,0.0009114255378950221,0.19265144169305493,0.0,306.3788090043766,111.72271424926149,126.37830223588998,108.63863560083063,0.0,0.0,126.37830223588998,182.83127796667497,226.94361321506904,-0.20719876888120625,1.8835709184235876,0.18824288528293426,0.0,0.6029784594066278,-0.0422786235408136,-0.0009564410675105689,0.0,0.0007269919710353602,0.3925510321957623,-7.659470225109414,5.177120356693553,-1.4812109962731033,-1.4113243932696249,4.95000054417874,-6.948856898570309,-5.806451612903226,-1.4113243932696249,4.390256262646015,4.635425135298816,-0.2987080980907272,0.32091476454507417,0.006180310775257856,0.0,0.20741508940478962,-0.2948582340133733,-0.14778314308049395,0.0,0.14503951639789098,0.25713334371547625,81.0,81.0,81.0,81.0,0.0,81.0,81.0,81.0,81.0,81.0,False,False,Rien,1,2019-10-19 11:43:21,2019-10-19 11:48:07,0,5,286.0,452.97465922743845,120.67530757097806,48.8023231,2.1316921,48.8013569,2.1309428,4,0.0,0.0,0.0,0.0,0.0,452.9746592274385,0.0,81.0,0.28321678321678323,9999941,2019-10-19 11:43:21
1,0.0,2.9435319082383216,1.6342811564083635,1.4094283756501362,0.9754437482384264,0.5579815438131612,1.1284129640845464,1.4094283756501362,2.4150909414004973,2.899770265312626,0.0,0.07358829770595804,0.04003262376905118,0.03902519672001444,0.025764870561299127,0.006974769297664516,0.023430162443680465,0.03902519672001444,0.060377273535012425,0.07249425663281564,-0.0017941223979346845,0.0007745460276231315,-0.0005443040044034528,-0.00024911136081557565,0.0008773977845094124,-0.0017941223979346848,-0.0011921998726566658,-0.00024911136081557565,-7.852027719185427e-05,0.000282467384220693,0.0,295.84258949279956,118.57649611167949,67.99935971550343,106.3761524363706,2.39768246785701,30.308728539355258,67.99935971550343,202.7880332473714,241.87044468944384,-4.371343383051045e-05,3.412058437504447e-05,-4.3551552582530625e-06,0.0,2.1572393028917086e-05,-2.593517066824897e-05,-1.2167316815479396e-05,0.0,1.7206981393266684e-06,1.57130715172098e-05,-4.9921762918550705,5.696080744432403,-0.918742787618073,-2.645693372713516,4.169149302597074,-4.9921762918550705,-4.3619343357807585,-2.645693372713516,2.1172290391855944,5.2137960111895785,-0.2471112286887358,0.07684694005958184,-0.048767670487082956,0.0,0.11931078168807491,-0.2239711032326831,-0.12024275009657295,0.0,0.034688047706359595,0.07236443327146425,234.0,234.0,234.0,234.0,0.0,234.0,234.0,234.0,234.0,234.0,False,False,Rien,1,2019-10-19 11:48:47,2019-10-19 11:53:21,0,5,274.0,11.439968094858544,0.7900128173838155,48.8013578,2.1309185,48.8013649,2.1309188,0,0.0,0.0,0.0,0.0,0.0,11.439968094858544,0.0,234.0,0.8540145985401459,9999941,2019-10-19 11:48:47
2,0.0,45.13247061024878,9.259583885426206,5.509085986574334,13.315155482167425,0.0,1.2147722437844861,5.509085986574334,9.195564272041691,19.01946285842816,0.0,0.6098982514898484,0.20340337563164412,0.17771245117981724,0.19551340587907876,0.0,0.039186201412402775,0.17771245117981724,0.296631105549732,0.4443334805037245,-0.00830467432701062,0.013584085195147564,-0.00023860174349007182,0.0,0.006199423959057969,-0.006247062637784504,-0.005329582198236639,0.0,0.0019635288645958103,0.0062916880007692425,0.0,328.85039192306874,155.38778378755387,165.38702957526948,118.79210120414336,0.0,15.898456266505548,165.38702957526948,252.37150987296215,299.1927259519266,-0.00040951968519377526,0.0004120407428769445,-3.1429651712628796e-05,0.0,0.00026765443223331607,-0.00035572268881492653,-0.00032907252960169786,0.0,0.00018492450695090245,0.00027061746632590374,-8.899350102988242,4.982952443625464,-0.6921063062773108,0.0,4.574699812412343,-8.292683178609575,-0.5009740873503743,0.0,3.0993008512741755,3.8153748570349624,-0.36259088060609945,0.44781621118108733,0.00747771499436356,0.0,0.22764174488982694,-0.21321957125601226,-0.11349156777889012,0.0,0.10944034597430406,0.2996539892688603,268.0,268.0,268.0,268.0,0.0,268.0,268.0,268.0,268.0,268.0,False,False,Rien,1,2019-10-19 11:54:01,2019-10-19 11:58:59,0,5,298.0,83.33625496883586,50.63177495699276,48.8013881,2.130932,48.80171,2.13044333333333,1,0.0,0.0,0.0,0.0,0.0,83.33625496883586,0.0,268.0,0.8993288590604027,9999941,2019-10-19 11:54:01
3,0.0,388.6933794256486,91.09822028959904,63.49584325021395,106.43103083177924,0.0,36.92435770029114,63.49584325021395,99.38251468730483,145.3053997523174,0.0,14.396051089838837,3.1102291102440573,2.0482530080714176,3.957826448172376,0.0,1.1911083129126174,2.0482530080714176,3.3349266850789268,4.759237356513445,-0.404361052456204,0.4184206201107921,-0.016639365742983317,-0.03309250491084497,0.1923580686998419,-0.13250882307412615,-0.07919804437193917,-0.03309250491084497,0.03439119488982625,0.11660999207416645,0.0,316.4009781658335,70.58864767334464,17.82701702923808,104.27542234790086,0.0,10.535650535711184,17.82701702923808,67.15926125427161,233.5358868968492,-0.02654134427635471,0.01118733454247234,-0.0015175413060880224,0.0,0.00924092195864944,-0.005908671478359932,-0.0026264997759470367,0.0,0.0017818510035440525,0.004808937327216867,-8.775586519140369,8.715133558207615,0.24886526586924385,0.24848134298021263,5.1079012520478795,-6.815670095451269,-0.8180622172387959,0.24848134298021263,1.7477285462891905,7.761701922161214,-0.6478044473091846,0.2650588940348132,-0.023035078717857583,0.028835106473912638,0.30200897101379437,-0.5399026673189808,-0.02551156682134056,0.028835106473912638,0.20992579683023904,0.2412057745394498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Rien,0,2019-10-19 11:59:30,2019-10-19 12:04:06,0,5,276.0,910.9822028959904,581.5689332848027,48.8017333333333,2.13057,48.8068316666667,2.13233166666667,1,0.0,0.0,0.0,0.0,0.0,910.9822028959904,0.0,0.0,0.0,9999941,2019-10-19 11:59:30
4,0.0,605.9115683512686,193.73824716029418,42.09683998240004,227.27377257128154,0.0,0.0,42.09683998240004,412.31825623465977,445.428883678706,0.0,17.82092848091966,6.365172311882045,1.3991396250368509,7.372419403699307,0.0,0.0,1.3991396250368509,14.296728363988318,16.03534199044675,-0.5169301770097242,0.49985569266052504,0.002892470301379113,0.0,0.2929156876584587,-0.3746315766673082,-0.07963851409131102,0.0,0.05511069415039849,0.448504570386672,0.0,206.4857328868118,50.58263440900673,20.817746217763187,76.54405130675777,0.0,0.0,20.817746217763187,33.45217930294113,197.74991045642696,-0.02186707787198477,0.016379634687893146,-0.002184140193009899,0.0,0.01296054616576431,-0.020288789304025043,-0.011596593527102808,0.0,0.007915160758978818,0.015111948024995358,-6.750208220031864,6.559308783990585,-0.20959628059289734,0.0,4.13357264300009,-6.6541502230079415,-1.0096282700019499,0.0,0.26936735373363935,6.115970137019358,-0.4400928632072697,0.2633098033954339,-0.015748942983293192,0.0,0.2364637970748536,-0.4285168415423596,-0.033853378749668095,0.0,0.17408508757438543,0.25089081692333753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Rien,0,2019-10-19 12:04:37,2019-10-19 12:09:12,0,5,275.0,1937.3824716029421,273.3083554273118,48.8079816666667,2.13302833333333,48.8102633333333,2.13441333333333,3,0.0,0.0,0.0,0.0,0.0,1937.382471602942,0.0,0.0,0.0,9999941,2019-10-19 12:04:37
5,0.0,418.9026705589612,84.18902280784478,0.0,165.6108508320315,0.0,0.0,0.0,8.42473930957007,412.46938165194996,0.0,15.250169324940488,2.7933190484992645,0.0,5.535986650997386,0.0,0.0,0.0,0.27176578417967967,12.613617035525373,-0.3623725523866446,0.4919409459658222,0.0021068299364563835,0.0,0.19629592523380882,-0.13388734003181685,-0.008766638199344506,0.0,0.0,0.05971406043579546,0.0,270.945649184834,48.34018355490599,0.0,94.17928089714717,0.0,0.0,0.0,12.411618109190627,203.41119091525795,-0.01936906581227213,0.01586906277309104,-0.00022446704285162145,0.0,0.009106815157969341,-0.01039932185362824,-0.0005655895612480327,0.0,0.00037705970749868844,0.011179120899308519,-8.740182231768838,8.740182231768838,-0.08100466098159503,0.0,4.868452981392487,-6.852636158945247,-0.3650475914467831,0.0,0.0,6.561651319847031,-0.5638827246302476,0.2819413623151238,0.0028034828966342425,0.007157795910721238,0.27303156707021353,-0.43271895092878315,0.0,0.007157795910721238,0.22196941803766454,0.2819413623151238,155.0,155.0,155.0,155.0,0.0,155.0,155.0,155.0,155.0,155.0,False,False,Rien,1,2019-10-19 12:09:43,2019-10-19 12:14:21,0,5,278.0,841.8902280784478,7.462782643005088,48.8102633333333,2.13441333333333,48.810315,2.13434833333333,6,0.0,0.0,0.0,0.0,0.0,841.8902280784478,0.0,155.0,0.5575539568345323,9999941,2019-10-19 12:09:43
6,0.0,627.0271194404953,319.3054760141134,310.9254732656847,288.65356506907113,0.3995371664091087,25.69293471909876,310.9254732656847,617.9786226227445,627.0271194404953,0.0,23.22322664594427,10.807451171922267,10.463702721891133,9.88619520597936,0.01331790554697029,0.8288043457773793,10.463702721891133,19.591161260666205,22.92161008535258,-0.7397860610058492,0.7624433153781919,-0.14898226708713436,-0.17580570068673199,0.4845730932228444,-0.7397860610058492,-0.5160775497228605,-0.17580570068673199,0.009399657783742354,0.5929241328944518,0.0,326.6329113936069,137.40719261731368,116.24481018113401,123.49293302430678,19.446642277673543,23.625121601858183,116.24481018113401,228.2043984732274,307.6032305829538,-0.043795824305996184,0.02494917820850988,-0.002653465063061892,0.0,0.02121003587891976,-0.032488721105645706,-0.012578999466213629,0.0,0.015055587144912695,0.018691880701188324,-11.314400800147864,9.462714709848873,-2.152427738533703,-2.171840954063148,6.7269649505869085,-11.314400800147864,-6.666763035930263,-2.171840954063148,2.2272690944443023,6.56314255444573,-0.6925705169998913,0.4780641407641038,-0.007008940903830241,-0.005900273018253601,0.30625265315357336,-0.2730783437059053,-0.09470362283514411,-0.005900273018253601,0.18970260843854475,0.32945995446997706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Rien,0,2019-10-19 12:14:51,2019-10-19 12:19:22,0,5,271.0,3193.054760141134,588.03313545368,48.810315,2.13434833333333,48.8143164,2.1291013,3,0.0,0.0,0.0,0.0,0.0,3193.054760141134,0.0,0.0,0.0,9999941,2019-10-19 12:14:51
7,0.0,357.01866451123135,185.677606363459,217.80374322216136,107.57567453825938,13.954050390514402,137.78625139117872,217.80374322216136,239.77715754687443,295.44294904924124,0.0,11.516731113265527,6.012174679246577,7.025927200714882,3.4631731918281305,0.4501306577585291,4.488505880418408,7.025927200714882,7.73474701764111,9.530417711265846,-0.37150745526662987,0.23398420011864024,-0.05748934548738721,-0.01361288712553739,0.18066386707520452,-0.37150745526662987,-0.10459813239708579,-0.01361288712553739,0.04726604274203021,0.0874730458828214,0.0,300.15655252365224,197.74548840060618,275.66672441104095,125.13458815784118,5.418890743179065,71.85665303369458,275.66672441104095,295.7320392262974,299.3409497954297,-0.014280693032649618,0.010187299399425798,-0.0014393713100182164,0.0,0.006129188103363549,-0.008291991555165515,-0.0035304198724416284,0.0,0.0014821289812616857,0.0026577346160304065,-9.6532363635507,8.852298285347025,-1.8063738271734215,-0.09766485452497188,6.583369701074224,-9.6532363635507,-8.619611152117567,-0.09766485452497188,1.3350248688308002,7.691886674749752,-0.31155604426208133,0.5404485801860401,-0.030629035754183558,-0.10712196103272092,0.3079367822482692,-0.28915170539250795,-0.2836727867382256,-0.10712196103272092,0.0009492360446078118,0.5308096295873158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Rien,0,2019-10-19 12:19:56,2019-10-19 12:24:34,0,5,278.0,1856.7760636345902,1388.284748189502,48.8122333333333,2.13469833333333,48.8190283333333,2.11879833333333,0,0.0,0.0,0.0,0.0,0.0,1856.7760636345902,0.0,0.0,0.0,9999941,2019-10-19 12:19:56
8,0.0,700.6541686771463,390.14802878250606,473.6708988616722,212.79936051025092,131.8245497170033,220.19741296115689,473.6708988616722,532.1519747596965,598.2560086761498,0.0,22.60174737668214,12.715982782826714,15.279706414892653,6.995130730205071,4.252404829580752,7.103142353585707,15.279706414892653,17.166192734183756,20.4736434207177,-0.5766726813416909,0.32648451939126766,-0.06711707184808846,-0.06975085417796142,0.22599695417838223,-0.23704143329334135,-0.15241594371257175,-0.06975085417796142,0.0693557649262352,0.13012358875590968,0.0,354.78209211753216,268.5112908176578,293.14186038036496,108.19539265562963,129.64778867332797,269.77974474173317,293.14186038036496,351.2200416831148,352.26894341965055,-0.0226968700475394,0.013685701213842555,-0.0007439454625862466,-0.00043176060543954295,0.009714121636640403,-0.008603910573636454,-0.003934334226241626,-0.00043176060543954295,0.003746593869126948,0.012137503691700082,-9.645017814112212,4.349517503610493,-2.0953819064124106,-0.01186920135352917,4.561637649003058,-9.645017814112212,-5.196221849217629,-0.01186920135352917,0.31169700861847655,1.0725414166438043,-0.3233121081703494,0.3595879669131503,-0.031095915375961534,0.0,0.1728200339856544,-0.2329883849750573,-0.11755981440886767,0.0,0.0029098944402486154,0.06789985322627841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Rien,0,2019-10-19 12:25:04,2019-10-19 12:29:41,0,5,277.0,3901.4802878250607,2755.8805514026267,48.8217783333333,2.11510833333333,48.8386283333333,2.08751333333333,0,0.0,0.0,0.0,0.0,0.0,3901.4802878250607,0.0,0.0,0.0,9999941,2019-10-19 12:25:04
9,0.0,274.5284505215484,119.23097743981764,97.38854358272795,96.12443908702087,0.0,39.90300503771252,97.38854358272795,205.20787728247944,242.556824297219,0.0,9.150948350718279,3.898182282967531,3.205167253637562,3.1421656229548565,0.0,1.3301001679237507,3.205167253637562,6.619608944596112,7.853932875235189,-0.24870387240728892,0.10880128921861679,-0.047147271851419405,-0.005568012676313083,0.12451384700693571,-0.24870387240728892,-0.13698526296981706,-0.005568012676313083,0.04674111356998672,0.06592490366790853,0.0,353.67251997087175,209.860557629462,241.37943812450615,113.7130512379933,0.0,200.46032247117984,241.37943812450615,279.5531727761081,305.5475233317449,-0.006688875406807051,0.0033284453623517495,-0.00028611601843529604,0.00017477400006949396,0.0030580604978052667,-0.00522227494324602,0.0,0.00017477400006949396,0.0013002084394053799,0.00319865693428869,-7.4921439833056676,11.408790966802314,-1.5814397960245323,-1.757286277863575,5.08672623776263,-6.538586645200935,-5.44151170153966,-1.757286277863575,-0.4565757140070815,1.738129577610008,-0.44764291236751796,0.6300311650035993,-0.01341758861570776,-0.00579343879077772,0.263043324654379,-0.2335489191498511,-0.15537562533576216,-0.00579343879077772,0.03906410288220239,0.15695564536240803,61.0,61.0,61.0,61.0,0.0,61.0,61.0,61.0,61.0,61.0,False,False,Rien,1,2019-10-19 12:30:12,2019-10-19 12:34:47,0,5,275.0,1192.3097743981762,897.8273520192423,48.8396566666667,2.08433666666667,48.83594,2.07345,1,0.0,0.0,0.0,0.0,0.0,1192.3097743981764,0.0,61.0,0.22181818181818183,9999941,2019-10-19 12:30:12
